price,quantity,created_at
425873.0,0.21781148,2019-03-03 14:45:58.570543
425871.40139,0.16,2019-03-03 14:45:58.570543
425871.25,0.1,2019-03-03 14:45:58.570543
425864.0,0.05,2019-03-03 14:45:58.570543
425860.9,0.1116,2019-03-03 14:45:58.570543
425851.92,0.002,2019-03-03 14:45:58.570543
425845.0,0.02,2019-03-03 14:45:58.570543
425832.15,0.004,2019-03-03 14:45:58.570543
425825.985,0.18050244,2019-03-03 14:45:58.570543
425825.0,0.003786,2019-03-03 14:45:58.570543
425817.0,2.00000013,2019-03-03 14:45:58.570543
425815.0,0.013952,2019-03-03 14:45:58.570543
425805.83111,0.06,2019-03-03 14:45:58.570543
425800.0,0.07,2019-03-03 14:45:58.570543
425792.00914,0.008,2019-03-03 14:45:58.570543
425779.0,0.015286,2019-03-03 14:45:58.570543
425887.52,0.1585,2019-03-03 14:45:59.662524
425879.0,0.01,2019-03-03 14:45:59.662524
425875.0,0.50000013,2019-03-03 14:45:59.662524
425874.0,1.00000013,2019-03-03 14:45:59.662524
425873.40139,0.02,2019-03-03 14:45:59.662524
425873.0,0.21781148,2019-03-03 14:45:59.662524
425871.40139,0.16,2019-03-03 14:45:59.662524
425864.0,0.05,2019-03-03 14:45:59.662524
425851.93,0.002,2019-03-03 14:45:59.662524
425850.73,0.1,2019-03-03 14:45:59.662524
425845.0,0.02,2019-03-03 14:45:59.662524
425831.15,0.004,2019-03-03 14:45:59.662524
425831.05,0.1,2019-03-03 14:45:59.662524
425825.985,0.18050244,2019-03-03 14:45:59.662524
425825.0,0.003786,2019-03-03 14:45:59.662524
425820.0,2.00000013,2019-03-03 14:45:59.662524
425815.0,0.013952,2019-03-03 14:45:59.662524
425805.83111,0.06,2019-03-03 14:45:59.662524
425800.0,0.07,2019-03-03 14:45:59.662524
425792.00914,0.008,2019-03-03 14:45:59.662524
425779.59,0.08003,2019-03-03 14:45:59.662524
425887.52,0.12968273,2019-03-03 14:46:00.761502
425879.0,0.01,2019-03-03 14:46:00.761502
425875.0,0.50000013,2019-03-03 14:46:00.761502
425874.0,1.00000013,2019-03-03 14:46:00.761502
425873.40139,0.02,2019-03-03 14:46:00.761502
425873.0,0.21781148,2019-03-03 14:46:00.761502
425871.40139,0.16,2019-03-03 14:46:00.761502
425864.0,0.05,2019-03-03 14:46:00.761502
425851.93,0.002,2019-03-03 14:46:00.761502
425850.73,0.1,2019-03-03 14:46:00.761502
425849.64,0.11093,2019-03-03 14:46:00.761502
425845.0,0.02,2019-03-03 14:46:00.761502
425832.06,0.052,2019-03-03 14:46:00.761502
425831.16,0.004,2019-03-03 14:46:00.761502
425831.05,0.1,2019-03-03 14:46:00.761502
425825.985,0.18050244,2019-03-03 14:46:00.761502
425825.0,0.003786,2019-03-03 14:46:00.761502
425820.0,2.00000013,2019-03-03 14:46:00.761502
425815.0,0.013952,2019-03-03 14:46:00.761502
425800.0,0.07,2019-03-03 14:46:00.761502
425791.51014,0.008,2019-03-03 14:46:00.761502
425887.52,0.14968273,2019-03-03 14:46:01.847131
425879.0,0.01,2019-03-03 14:46:01.847131
425875.0,0.50000013,2019-03-03 14:46:01.847131
425873.40139,0.02,2019-03-03 14:46:01.847131
425871.40139,0.16,2019-03-03 14:46:01.847131
425864.0,0.05,2019-03-03 14:46:01.847131
425852.94,0.052,2019-03-03 14:46:01.847131
425851.94,0.002,2019-03-03 14:46:01.847131
425850.73,0.1,2019-03-03 14:46:01.847131
425849.64,0.11093,2019-03-03 14:46:01.847131
425845.0,0.02,2019-03-03 14:46:01.847131
425832.06,0.052,2019-03-03 14:46:01.847131
425831.17,0.004,2019-03-03 14:46:01.847131
425831.05,0.1,2019-03-03 14:46:01.847131
425826.0,1.00000013,2019-03-03 14:46:01.847131
425825.985,0.18050244,2019-03-03 14:46:01.847131
425825.0,0.003786,2019-03-03 14:46:01.847131
425821.0,0.21781148,2019-03-03 14:46:01.847131
425815.0,0.013952,2019-03-03 14:46:01.847131
425806.84,0.052,2019-03-03 14:46:01.847131
425802.0,2.00000013,2019-03-03 14:46:01.847131
425871.40139,0.10818286,2019-03-03 14:46:03.114886
425864.0,0.05,2019-03-03 14:46:03.114886
425853.0,0.50000013,2019-03-03 14:46:03.114886
425852.94,0.052,2019-03-03 14:46:03.114886
425851.95,0.002,2019-03-03 14:46:03.114886
425851.0,1.00000013,2019-03-03 14:46:03.114886
425845.0,0.02,2019-03-03 14:46:03.114886
425842.72,0.1,2019-03-03 14:46:03.114886
425839.41,0.1,2019-03-03 14:46:03.114886
425832.06,0.052,2019-03-03 14:46:03.114886
425831.07,0.004,2019-03-03 14:46:03.114886
425825.985,0.18050244,2019-03-03 14:46:03.114886
425825.0,0.003786,2019-03-03 14:46:03.114886
425821.0,0.21781148,2019-03-03 14:46:03.114886
425815.0,0.013952,2019-03-03 14:46:03.114886
425813.68,0.10547,2019-03-03 14:46:03.114886
425802.0,2.00000013,2019-03-03 14:46:03.114886
425800.0,0.07,2019-03-03 14:46:03.114886
425791.51014,0.008,2019-03-03 14:46:03.114886
425788.01,0.05,2019-03-03 14:46:03.114886
425786.43553,0.06,2019-03-03 14:46:03.114886
425845.0,0.02,2019-03-03 14:46:04.289724
425842.72,0.1,2019-03-03 14:46:04.289724
425839.41,0.1,2019-03-03 14:46:04.289724
425829.52,0.02,2019-03-03 14:46:04.289724
425825.985,0.18050244,2019-03-03 14:46:04.289724
425825.0,0.003786,2019-03-03 14:46:04.289724
425821.0,0.21781148,2019-03-03 14:46:04.289724
425815.0,0.013952,2019-03-03 14:46:04.289724
425802.01,0.004,2019-03-03 14:46:04.289724
425800.0,0.07,2019-03-03 14:46:04.289724
425791.0,2.00000013,2019-03-03 14:46:04.289724
425790.2,0.10841,2019-03-03 14:46:04.289724
425786.43553,0.06,2019-03-03 14:46:04.289724
425779.59,0.08003,2019-03-03 14:46:04.289724
425779.0,0.015286,2019-03-03 14:46:04.289724
425771.0,0.003,2019-03-03 14:46:04.289724
425756.93,0.008,2019-03-03 14:46:04.289724
425756.92,0.05,2019-03-03 14:46:04.289724
425730.3672,0.012,2019-03-03 14:46:04.289724
425728.0,0.90824656,2019-03-03 14:46:04.289724
425726.0,0.23,2019-03-03 14:46:04.289724
425852.0,0.15581013,2019-03-03 14:46:05.500971
425845.0,0.02,2019-03-03 14:46:05.500971
425842.72,0.1,2019-03-03 14:46:05.500971
425839.41,0.1,2019-03-03 14:46:05.500971
425829.52,0.02,2019-03-03 14:46:05.500971
425825.995,0.002,2019-03-03 14:46:05.500971
425825.985,0.18050244,2019-03-03 14:46:05.500971
425825.0,0.003786,2019-03-03 14:46:05.500971
425822.0,1.00000013,2019-03-03 14:46:05.500971
425821.0,0.21781148,2019-03-03 14:46:05.500971
425815.0,0.013952,2019-03-03 14:46:05.500971
425800.01,0.004,2019-03-03 14:46:05.500971
425800.0,0.07,2019-03-03 14:46:05.500971
425792.47,0.1,2019-03-03 14:46:05.500971
425791.0,2.00000013,2019-03-03 14:46:05.500971
425779.59,0.08003,2019-03-03 14:46:05.500971
425779.0,0.015286,2019-03-03 14:46:05.500971
425771.0,0.003,2019-03-03 14:46:05.500971
425756.93,0.008,2019-03-03 14:46:05.500971
425756.92,0.05,2019-03-03 14:46:05.500971
425747.89,0.10615,2019-03-03 14:46:05.500971
425821.0,0.21781148,2019-03-03 14:46:06.738243
425815.0,0.013952,2019-03-03 14:46:06.738243
425800.02,0.004,2019-03-03 14:46:06.738243
425800.0,0.07,2019-03-03 14:46:06.738243
425792.47,0.1,2019-03-03 14:46:06.738243
425784.32,0.1,2019-03-03 14:46:06.738243
425779.01,0.05,2019-03-03 14:46:06.738243
425779.0,0.015286,2019-03-03 14:46:06.738243
425771.01,0.008,2019-03-03 14:46:06.738243
425771.0,0.003,2019-03-03 14:46:06.738243
425757.94,0.052,2019-03-03 14:46:06.738243
425756.92,0.05,2019-03-03 14:46:06.738243
425751.00659,0.06,2019-03-03 14:46:06.738243
425729.0,0.052,2019-03-03 14:46:06.738243
425728.0,0.90824656,2019-03-03 14:46:06.738243
425726.0,0.23,2019-03-03 14:46:06.738243
425722.0,0.1934,2019-03-03 14:46:06.738243
425715.24,0.10759,2019-03-03 14:46:06.738243
425710.96581,0.012,2019-03-03 14:46:06.738243
425697.0,0.1,2019-03-03 14:46:06.738243
425689.0,0.022875,2019-03-03 14:46:06.738243
425815.0,0.013952,2019-03-03 14:46:07.834586
425800.0,0.07,2019-03-03 14:46:07.834586
425792.47,0.1,2019-03-03 14:46:07.834586
425784.32,0.1,2019-03-03 14:46:07.834586
425779.02,0.004,2019-03-03 14:46:07.834586
425779.0,0.015286,2019-03-03 14:46:07.834586
425771.0,0.003,2019-03-03 14:46:07.834586
425757.94,0.052,2019-03-03 14:46:07.834586
425756.92,0.05,2019-03-03 14:46:07.834586
425751.00659,0.06,2019-03-03 14:46:07.834586
425729.01,0.008,2019-03-03 14:46:07.834586
425729.0,0.052,2019-03-03 14:46:07.834586
425728.0,0.90824656,2019-03-03 14:46:07.834586
425727.41,0.10759,2019-03-03 14:46:07.834586
425726.0,0.23,2019-03-03 14:46:07.834586
425722.0,0.1934,2019-03-03 14:46:07.834586
425703.96581,0.012,2019-03-03 14:46:07.834586
425703.65,0.08003,2019-03-03 14:46:07.834586
425697.0,0.1,2019-03-03 14:46:07.834586
425689.0,0.022875,2019-03-03 14:46:07.834586
425683.0,0.5,2019-03-03 14:46:07.834586
425800.0,0.00512832,2019-03-03 14:46:08.946903
425784.32,0.1,2019-03-03 14:46:08.946903
425779.0,0.015286,2019-03-03 14:46:08.946903
425771.0,0.003,2019-03-03 14:46:08.946903
425758.53,0.1,2019-03-03 14:46:08.946903
425756.92,0.05,2019-03-03 14:46:08.946903
425752.0,1.00000013,2019-03-03 14:46:08.946903
425751.01659,0.002,2019-03-03 14:46:08.946903
425751.00659,0.06,2019-03-03 14:46:08.946903
425729.02,0.004,2019-03-03 14:46:08.946903
425728.0,0.90824656,2019-03-03 14:46:08.946903
425726.0,0.23,2019-03-03 14:46:08.946903
425714.22,0.10563,2019-03-03 14:46:08.946903
425711.0,0.1935,2019-03-03 14:46:08.946903
425703.65,0.08003,2019-03-03 14:46:08.946903
425697.0,0.1,2019-03-03 14:46:08.946903
425689.01,0.008,2019-03-03 14:46:08.946903
425689.0,0.022875,2019-03-03 14:46:08.946903
425683.0,0.5,2019-03-03 14:46:08.946903
425671.0,0.003157,2019-03-03 14:46:08.946903
425668.0,0.003,2019-03-03 14:46:08.946903
425800.0,0.00362832,2019-03-03 14:46:10.059645
425779.0,0.015286,2019-03-03 14:46:10.059645
425771.0,0.003,2019-03-03 14:46:10.059645
425761.39,0.1,2019-03-03 14:46:10.059645
425758.53,0.1,2019-03-03 14:46:10.059645
425757.9,0.037,2019-03-03 14:46:10.059645
425756.92,0.05,2019-03-03 14:46:10.059645
425752.0,1.00000013,2019-03-03 14:46:10.059645
425751.01659,0.002,2019-03-03 14:46:10.059645
425751.00659,0.06,2019-03-03 14:46:10.059645
425730.0,0.037,2019-03-03 14:46:10.059645
425729.02,0.004,2019-03-03 14:46:10.059645
425728.0,0.90824656,2019-03-03 14:46:10.059645
425727.0,2.00000013,2019-03-03 14:46:10.059645
425726.0,0.23,2019-03-03 14:46:10.059645
425721.01,0.05,2019-03-03 14:46:10.059645
425716.47,0.1119,2019-03-03 14:46:10.059645
425712.0,0.037,2019-03-03 14:46:10.059645
425711.0,0.1935,2019-03-03 14:46:10.059645
425703.65,0.08003,2019-03-03 14:46:10.059645
425697.0,0.1,2019-03-03 14:46:10.059645
425815.3,0.25983928,2019-03-03 14:46:11.226325
425807.001,0.05,2019-03-03 14:46:11.226325
425779.0,0.015286,2019-03-03 14:46:11.226325
425771.0,0.003,2019-03-03 14:46:11.226325
425761.39,0.1,2019-03-03 14:46:11.226325
425759.0,0.50000013,2019-03-03 14:46:11.226325
425758.53,0.1,2019-03-03 14:46:11.226325
425757.9,0.037,2019-03-03 14:46:11.226325
425756.92,0.05,2019-03-03 14:46:11.226325
